id;numero_ioc;type_ioc;type_prestation;type_index;categorie;etat_ioc;libelle;adresse;puissance_souscrite;puissance_installe;date_creation;date_modification;id_direction_regionale;id_dlc;id_ville;tension;responsable_site;activite_analytique;code_analytique;categorie_index;id_fournisseur;periodicite;observation
1;Awesome;63350;92024;99070;49379;87905;Bedfordshire Superviseur toolset;c;a Expanded yellow;Rustic Languedoc-Roussillon;2023-11-03;2023-11-02;75250;69345;14996;10140;Executif structure;17672;emulation national overriding;764;4606;33766;cross-platform
2;expedite;39271;45245;10236;40661;60688;Yen c;payment Car Cambridgeshire;Pastourelle;Auvergne 24/7 RSS;2023-11-02;2023-11-03;21923;3764;84167;69461;Computers;86856;unleash Movies override;15897;61060;74616;withdrawal maroon encoding
3;a virtual;42049;49345;44415;98380;76219;azure Bourgogne;payment;Account Sleek Kenyan;strategize clicks-and-mortar Auvergne;2023-11-02;2023-11-02;33706;64659;10679;82992;human-resource;49471;Virtual Buckinghamshire;34715;54765;81952;e-enable
4;backing clicks-and-mortar 1080p;35808;28660;71381;83456;98079;c help-desk;Nord-Pas-de-Calais;Haïti;Cross-platform Buckinghamshire Investment;2023-11-03;2023-11-02;16416;87246;96252;65350;Buckinghamshire collaborative redundant;48522;Dollar web c;66211;66611;55693;cutting-edge Developpeur Granite
5;optimize;51878;76370;86646;65748;55809;open-source Keyboard;evolve b neural;wireless;Auto;2023-11-03;2023-11-03;88529;13326;26645;16765;De-engineered;30918;generate;86645;8393;93134;empowering Wooden bluetooth
6;Andorre Granite;10193;26704;85577;78767;95391;Front-line;deposit b;array;generating Paraguay;2023-11-02;2023-11-02;82469;29606;45423;96398;Analyste;33004;green Soap;9835;81578;98284;Centralized
7;Bûcherie Champagne-Ardenne;1699;96628;67846;21806;16707;deposit Berkshire;mint generating Business-focused;archive;Malaisie Distributed;2023-11-03;2023-11-03;69711;98564;78902;37954;lavender Designer red;88642;Nord-Pas-de-Calais;23582;32600;91815;Ergonomic Oman Stagiaire
8;Bourgogne extranet;93240;15425;91210;92738;14375;bypassing;Tasty;Architecte;B2B;2023-11-02;2023-11-02;5840;102;77054;26382;Dalasi;18092;plum administration Canada;37093;24616;50785;Centre Maldives
9;multi-byte copying c;26019;20296;36888;28419;79515;Small black Nakfa;Turkménistan Fantastic;Keyboard;ROI Rubber Personal;2023-11-02;2023-11-03;2939;49651;60979;89327;Viêt bandwidth;95939;Bretagne Face tangible;49300;16662;49772;input
10;efficient c;63238;85382;75;91013;89625;Bulgarian invoice;AI;c;a Basse-Normandie Chili;2023-11-02;2023-11-02;58069;21452;57647;83263;productivity;73432;Ergonomic frame Royale;52515;39612;16594;Plastic Market haptic
