id;id_ioc;numero_facture;date_facture;code_memoire;id_memoire;montant_ttc;type_index;ancien_index;nouvel_index;date_debut_conso;date_fin_conso;periodes;periode_reference;categorie_facture;puissance_appelee;cos_phi;rdpc;ancien_index_ean;nouvel_index_ean;ea_normale;ancien_index_eac;nouvel_index_eac;ea_creuse;ancien_index_eap;nouvel_index_eap;ea_pointes;energie_reactive;heures_utilisees;indice_maximal;date_modification;date_suppression;date_rendre_facture_as;statut_facture;date_creation;date_validation;date_rejet;id_user_creation;id_user_validation;id_user_rejet;id_user_modification;id_user_suppression;id_user_rendre_facture_as;observation;motif_rejet;rejet_motif;ancien_index_ea;nouvel_index_ea;ancien_index_er;nouvel_index_er;ancien_index_hu;nouvel_index_hu;ancien_index_im;nouvel_index_im;montant_tva_7;montant_ht_7;montant_tva_14;montant_ht_14;montant_tva_20;montant_ht_20;montant_tva_manue;diverses_taxes
1;54917;36989;2023-11-03;Shirt 24/7;12047;97998;79059;3118;49063;2023-11-02;2023-11-02;facilitate;e-tailers;79967;b deposit input;60337;c;63657;3218;Architecte Awesome Incredible;9305;78369;89784;70157;13087;asymmetric Personal implementation;62025;38571;63915;2023-11-03;2023-11-02;2023-11-03;Beauty;2023-11-03;2023-11-02;2023-11-03;48463;4239;64059;76900;14112;71526;Tasty Shoes;Distributed hierarchy Roumanie;b;64437;46049;55744;57016;6680;80138;51102;73135;90353;39732;90089;75051;65481;63883;13947;76300
2;66768;71229;2023-11-02;withdrawal Guinée Outdoors;95959;88647;22706;44587;23539;2023-11-03;2023-11-03;a;red;52152;context-sensitive input Lats;83904;program;71785;92363;sexy Leu feed;19190;5896;90784;2431;34605;Specialiste clicks-and-mortar;13793;19272;39380;2023-11-02;2023-11-02;2023-11-02;Bedfordshire Midi-Pyrénées Basse-Normandie;2023-11-02;2023-11-03;2023-11-02;2099;48319;24899;90222;80504;71263;mint Garden Solférino;b;group Ferronnerie Koweït;50515;6993;4997;10570;36368;63202;34583;78357;96672;46866;46633;64113;28468;92844;73288;12966
3;3868;70019;2023-11-02;Lorraine plum;20099;57108;6576;41534;30694;2023-11-03;2023-11-02;Tasty c withdrawal;Rubber Handcrafted;74120;aggregate;18521;hub Awesome;92240;86189;Ergonomic users system-worthy;86687;30710;71458;61192;40311;Soft dot-com Health;81502;60727;18267;2023-11-03;2023-11-03;2023-11-02;a Rubber Wooden;2023-11-03;2023-11-02;2023-11-03;55947;41354;54737;90215;49725;26333;de user-facing;hierarchy Pa'anga solutions;Personal Granite reintermediate;92643;22727;39945;14967;19542;46643;34722;94747;9201;51540;88578;71130;95000;44323;45586;71715
4;83899;13800;2023-11-02;up Granite;60332;17451;20092;32208;28557;2023-11-02;2023-11-02;Bedfordshire Account;Loan;70348;Intelligent reboot;23012;b Car;79740;51975;RAM;53327;49064;68463;50328;25870;quantifying copy;18298;52575;67474;2023-11-02;2023-11-02;2023-11-03;system Licensed Franc;2023-11-03;2023-11-02;2023-11-02;45003;88160;70902;88899;43384;76605;conglomeration;Huchette;Garden b Total;55496;58103;74801;4852;93529;15979;4485;85511;59904;17311;440;93476;59374;69369;34312;31461
5;94183;39865;2023-11-03;Generic RAM;55932;5852;26258;99864;58029;2023-11-02;2023-11-02;Virtual;Personal morph redundant;59126;framework framework b;63142;RSS backing up;49864;45872;Pound;78518;75680;26861;7756;40801;Bahamas du;11133;97259;20340;2023-11-03;2023-11-02;2023-11-03;Franc yellow Pre-emptive;2023-11-02;2023-11-02;2023-11-03;38583;52553;65505;61037;5487;47952;morph;magenta b invoice;mobile sensor;19691;47030;36348;74258;67495;63005;51480;42770;44707;27843;25807;3970;69182;46374;45074;38247
6;87350;92658;2023-11-02;array incubate card;22530;67007;12139;60105;66414;2023-11-03;2023-11-03;Franche-Comté;deposit Plastic 6th;77137;deposit;97034;a calculating transform;27411;66907;programming user-facing cross-media;14787;6507;3748;92036;84516;web-enabled;76215;81113;89976;2023-11-02;2023-11-02;2023-11-02;bluetooth;2023-11-02;2023-11-02;2023-11-03;29164;31121;76337;91610;2126;803;zero sensor withdrawal;strategy leverage;Savings d'Azur a;24735;20449;34661;55469;48892;67356;81380;56712;41551;25749;60971;81203;79966;13775;87841;83093
7;65473;5461;2023-11-02;c portal optimizing;7480;72159;4451;54220;25562;2023-11-03;2023-11-02;Monitored Frozen auxiliary;Granite;73599;Chair system;65848;invoice Baby synergies;43861;32399;Chicken Tunisie;79864;67076;89253;95006;44172;Fish reboot a;46911;71427;70936;2023-11-02;2023-11-03;2023-11-02;Bacon Monaco Maldives;2023-11-02;2023-11-02;2023-11-02;78510;335;79979;8493;82536;84066;maximize withdrawal;Huchette Account Account;Poitou-Charentes synergy Awesome;95208;75511;5624;14042;20441;84868;45404;41428;9698;8241;97134;59695;11487;80566;68667;16518
8;64812;25491;2023-11-03;HTTP;18570;64056;63032;63149;61133;2023-11-02;2023-11-02;Presbourg;Incredible lime;73417;Alsace GB;27257;reboot solutions;68323;66294;Buckinghamshire;19580;63979;88612;79787;5476;deposit Dram matrix;37576;89344;42235;2023-11-02;2023-11-03;2023-11-02;b Fresh Generic;2023-11-03;2023-11-03;2023-11-02;58967;45666;67512;25862;56157;44547;Dram Turkménistan;Card;Berkshire Home;96945;70127;27520;1349;37403;73496;47678;4868;64442;96748;42920;15809;41356;44214;71905;11951
9;45654;47460;2023-11-03;Languedoc-Roussillon user-facing wireless;31409;19969;70354;95847;18793;2023-11-03;2023-11-03;B2C Liechtenstein;repurpose;95811;line;52170;b Dollar optical;89322;25591;reboot hacking Rubber;10012;8020;17418;41719;29004;extend;51334;2539;3551;2023-11-03;2023-11-02;2023-11-02;cross-platform SMS;2023-11-03;2023-11-03;2023-11-03;69504;29113;56425;74600;54696;94284;index;exploit;Provence;26608;45893;61240;47108;38885;82764;16261;55150;24126;12438;94487;48172;77696;60002;66290;33681
10;36589;95984;2023-11-03;overriding fuchsia THX;59513;26581;59091;96347;87811;2023-11-03;2023-11-02;Algerian Rupee compressing;COM Directeur;27863;green Bhoutan;43661;b;52861;21614;c attitude revolutionary;72831;39284;27573;5010;52133;bus Balanced;80987;83410;57057;2023-11-02;2023-11-02;2023-11-03;invoice;2023-11-02;2023-11-02;2023-11-02;66529;3122;79370;12631;92951;43409;content-based;Belarussian;navigating Movies Industrial;20448;64881;84350;4734;83337;42670;54497;56052;87313;73969;21679;20311;32077;80525;32412;75210
